PALAVRA,Transc.Fon,VOGAL,F1,F2,F1.NORM,F2.NORM,CONT.PREC,CONT.SEG,VOGAL.SIL.SEG,F1.SIL.SEG,F2.SIL.SEG,F1.SEG.NORM,F2.SEG.NORM,VOGAL.TONICA,DIST.TONICA,ESTR.SIL.PRET,Begin.Time.s,End.Time.s,Duration.ms,AMOSTRA,PARTICIPANTE,SEXO,IDADE,IDADE.CHEGADA,ANOS.SP,CONTEXTO
fazer,f<a>-'zer,a,487.0560243128,1666.1994257558,396.891,1516.88,f,z,e,498.1059180275,2001.0987553465,328.13,1517.739,e,1,CV,20.3594695277,20.3785777464,19.108218724,PBSP,MartaS,feminino,32,18,14,ai aqui já tem treze ano vai fazer quatorze
quatorze,k<a>-'tor-ze,a,685.6312226028,1413.6598495282,476.195,1385.742,k,t,o,462.3577412256,1126.2415573884,317.281,1094.619,o,1,CV,20.5790881804,20.5993090853,20.2209049639,PBSP,MartaS,feminino,32,18,14,ai aqui já tem treze ano vai fazer quatorze
casou,k<a>-'zow,a,731.1140611517,1168.3211395452,494.352,1258.408,k,z,ow,529.0426751256,1009.038501953,337.521,1037.896,ow,1,CV,33.5575985263,33.598317335,40.718808626,PBSP,MartaS,feminino,32,18,14,aí depois ele voltou a gente casou e viemos
casado,k<a>-'za-do,a,620.9227313898,1274.8812351905,450.336,1313.683,k,z,a,842.3962850958,1238.8670751669,432.676,1149.038,a,1,CV,36.4901582788,36.515391129,25.2328501583,PBSP,MartaS,feminino,32,18,14,que lá você só podia sair se fosse casado né se fosse pra
casei,k<a>-'zej,a,845.1943577343,1574.2857017859,539.862,1469.214,k,z,ej ,508.6009177573,2350.8446103982,331.346,1686.845,ej,1,CV,40.3369317988,40.3715912609,34.6594621043,PBSP,MartaS,feminino,32,18,14,aí aí eu casei e vim pra cá
casal,k<a>-'zaw,a,763.6359851752,1487.5813166426,507.328,1424.233,k,z,aw,644.4675568131,1296.6044871453,372.599,1177.045,aw,1,CV,49.6705213269,49.6916776512,21.1563242714,PBSP,MartaS,feminino,32,18,14,dois um casal
morando,m<o>-'RA-do,o,625.6385382856,1035.3827699462,452.203,1189.258,m,R,A,611.903595165,1542.016173808,362.693,1295.632,A,1,CV,107.2830424953,107.2999221035,16.8796081677,PBSP,MartaS,feminino,32,18,14,faz dois ano agora que eu estou morando no que é meu
sacola,s<a>-'ko-la,a,823.957780812,1453.7712372298,531.413,1406.554,s,k,ó,549.3474750657,924.7164940303,343.696,997.126,o,1,CV,117.339397293,117.3601586465,20.7613534676,PBSP,MartaS,feminino,32,18,14,é não é a sacola só a sacola
sacola,s<a>-'ko-la,a,780.0340372226,1462.1124118302,513.863,1411.029,s,k,ó,609.4244746579,1018.7177643152,361.964,1042.682,o,1,CV,118.2445089009,118.2690492543,24.540353413,PBSP,MartaS,feminino,32,18,14,é não é a sacola só a sacola
marido,m<a>-'Ri-do,a,622.5131714499,1475.4188525467,450.99,1417.967,m,R,i,391.8461854889,1519.1161636434,295.883,1284.642,i,1,CV,143.280777722,143.30674635,25.9686279502,PBSP,MartaS,feminino,32,18,14,não só veio eu e meu marido só
total,t<o>-'taw,o,578.7719976665,1297.0171170757,433.486,1325.096,t,t,aw,680.0894599099,1525.492584786,383.405,1287.655,aw,1,CV,159.4321509326,159.4604047998,28.2538672099,PBSP,MartaS,feminino,32,18,14,nossa me deu deu vontade de eu voltar desespero total porque
família,f<a>-'mi-lia,a,774.8777215459,1355.383034566,511.809,1355.531,f,m,i,352.31041887,2553.1518391731,283.877,1784.692,i,1,CV,161.2397245483,161.2740031372,34.2785888943,PBSP,MartaS,feminino,32,18,14,sem minha família sem ninguém aqui
família,f<a>-'mi-lia,a,654.0683463869,1254.0217065528,463.592,1302.941,f,m,i,382.6392012708,1685.3178351575,293.096,1364.94,i,1,CV,208.8959348998,208.9167098022,20.7749023602,PBSP,MartaS,feminino,32,18,14,mas a minha família lá não entende
diferente,d<i>-f<e>-'RE-te,i,379.1975389704,1963.861494029,353.809,1671.515,d,f,e,613.2595958037,2014.4853797775,363.122,1524.12,E,2,CV,218.6592289947,218.6755719179,16.34292319,PBSP,MartaS,feminino,32,18,14,diferente o clima de eu com ele
diferente,d<i>-f<e>-'RE-te,e,613.2595958037,2014.4853797775,447.255,1697.922,f,R,E,569.1751853847,1674.4641073565,349.743,1359.8,E,1,CV,218.7961808409,218.8065334255,10.3525846037,PBSP,MartaS,feminino,32,18,14,diferente o clima de eu com ele
totalmente,t<o>-t<a>w-'mE-te,o,552.6748808551,1004.1855721775,423.077,1173.146,t,t,aw,655.8794622959,1193.6102879138,376.029,1127.235,E,2,CV,225.7468617725,225.7609887061,14.126933605,PBSP,MartaS,feminino,32,18,14,ela já é mais sabe familiar com ele e eu não sou sou totalmente diferente
diferente,d<i>-f<e>-'RE-te,e,656.1135526619,1847.628019128,464.386,1611.093,f,R,E,523.8931248459,2428.0657044933,335.978,1724.247,E,1,CV,226.2482209577,226.2598650734,11.6441157429,PBSP,MartaS,feminino,32,18,14,ela já é mais sabe familiar com ele e eu não sou sou totalmente diferente
falando,f<a>-'lA-do,a,827.4988403611,1355.4979792399,532.814,1355.531,f,l,A,755.9435553364,1364.3012088904,406.432,1209.661,A,1,CV,264.8305663314,264.8614689987,30.9026672608,PBSP,MartaS,feminino,32,18,14,falando ai meu deus será porque
gostaram,g<o>s-'ta-RA,o,547.8059171514,1059.7599941606,421.163,1202.014,g,s,a,740.214826711,1426.3042305937,401.63,1239.618,a,1,CVs,351.3633267139,351.3803621338,17.0354199353,PBSP,MartaS,feminino,32,18,14,teve amigo mas já vieram e já voltaram porque não gostaram
parente,p<a>-'RE-te,a,706.0809048347,1595.7993005344,484.317,1480.403,p,R,E,597.1402587187,2242.8670578726,358.233,1634.553,E,1,CV,365.0776641445,365.0933961991,15.7320545702,PBSP,MartaS,feminino,32,18,14,eu tenho vários parente agora aqui
maravilhoso,m<a>-R<a>-v<i>-'Lo-zo,a,626.5558285525,1417.5553999866,452.577,1387.756,m,R,a,670.2465405197,1558.8313536178,380.403,1303.786,o,3,CV,369.7935528054,369.8203870543,26.8342488819,PBSP,MartaS,feminino,32,18,14,pra mim a gente está no maravilhoso
maravilhoso,m<a>-R<a>-v<i>-'Lo-zo,a,670.2465405197,1558.8313536178,470.034,1461.157,R,v,i,520.6356782085,1398.9776980796,334.991,1226.5,o,2,CV,369.8661483452,369.8773578671,11.2095219764,PBSP,MartaS,feminino,32,18,14,pra mim a gente está no maravilhoso
parentada,p<a>-RE-'ta-da,a,812.3867366194,1507.2659161951,526.792,1434.303,p,R,E,510.6868131743,1343.0746736411,331.947,1199.38,a,2,CV,374.231044501,374.2492066024,18.1621014109,PBSP,MartaS,feminino,32,18,14,tem parentada pra todo canto assim que quiser
distante,d<i>s-'tA-te,i,502.1722663254,1840.2531994226,402.913,1607.289,d,s,A,773.7397072202,1656.3949426103,411.835,1350.937,A,1,CVs,384.9283293992,384.9436508897,15.3214904906,PBSP,MartaS,feminino,32,18,14,o resto é assim tudo distante assim e a minha prima também bem pertinho de mim
missionária,m<i>-s<i>-<o>-'na-Ria,i,386.7218028634,1762.3632113692,356.843,1567.008,m,s,i,630.0145881739,2067.4744471645,368.182,1549.823,a,3,CV,391.8825369673,391.9019441886,19.4072212882,PBSP,MartaS,feminino,32,18,14,eu moro na vila missionária
primeiro,pR<i>-'mej-Ro,i,422.5200446178,1905.6127449739,371.126,1641.304,R,m,ej ,419.7595571102,2082.1274373483,304.374,1556.913,ej,1,CCV,414.1404528202,414.1497932293,9.3404091168,PBSP,MartaS,feminino,32,18,14,primeiro eu morei quando eu cheguei aqui
estação,<e>s-t<a>-'sAw,a,743.1270893143,1507.4563153777,499.113,1434.527,t,s,Aw,674.6649023113,1403.3928510592,381.732,1228.628,Aw,1,CV,420.484698045,420.5184918861,33.7938411726,PBSP,MartaS,feminino,32,18,14,em na patriarca pertinho da estação
difícil,d<i>-'fi-siw,i,425.868089142,1865.230827013,372.433,1620.269,d,f,i,444.9914397127,2517.6661980487,312.007,1767.498,i,1,CV,433.4905495187,433.5149376726,24.3881538879,PBSP,MartaS,feminino,32,18,14,foi muito difícil primeiro porque meu marido assim
daqueles,d<a>-'ke-les,a,649.4521258942,1669.7239306857,461.725,1518.894,d,k,e,408.3682583068,1655.7045165669,300.901,1350.582,e,1,CV,438.7175007516,438.7417900749,24.2893233428,PBSP,MartaS,feminino,32,18,14,não tem as coisa certinha sabe é daqueles que
nordeste,n<o>r-'des-te,o,586.4898057442,1120.1710061334,436.566,1233.344,n,r,é,508.4351188956,1837.0525756712,331.304,1438.326,e,1,CVr,444.5646145556,444.5841429638,19.5284082186,PBSP,MartaS,feminino,32,18,14,porque lá no nordeste quando a pessoa se casa tem uma casa
mulher,m<u>-'Ler,u,371.0027030064,1081.3918205514,350.541,1213.203,m,L,é,614.758213298,1976.7971456366,363.551,1505.862,e,1,CV,455.2050832007,455.2356915569,30.6083561441,PBSP,MartaS,feminino,32,18,14,é e as mulher entra com a parte dessas de
enxoval,E-S<o>-'vaw,o,688.8945787749,1251.5219523816,477.455,1301.598,S,v,Aw,719.0747325688,1197.8717632589,395.24,1129.185,aw,1,CV,458.1983442519,458.2156133895,17.2691375869,PBSP,MartaS,feminino,32,18,14,enxoval de de louça essas coisa é a mulher
mulher,m<u>-'Ler,u,550.1258133279,925.4450251878,422.05,1132.193,m,L,é,571.3678096055,1724.5234804152,350.386,1383.907,e,1,CV,460.6445082641,460.66452142,20.0131559403,PBSP,MartaS,feminino,32,18,14,enxoval de de louça essas coisa é a mulher
botar,b<o>-'tar,o,560.6294718362,994.6518608068,426.251,1168.223,b,t,a,749.5406956871,1352.746690562,404.503,1204.166,a,1,CV,484.6213431421,484.6525920578,31.2489156335,PBSP,MartaS,feminino,32,18,14,nossa quando foi uma semana depois que era pra gente comer a gente ia botar lá na casa do irmão dele
difícil,d<i>-'fi-siw,i,394.5485774777,2326.5612993585,359.97,1859.942,d,f,i,435.7271620549,1933.4966815904,309.22,1484.946,i,1,CV,487.7520682686,487.7623397266,10.2714579753,PBSP,MartaS,feminino,32,18,14,então nossa muito difícil né porque você acostumada lá
passei,p<a>-'sej,a,549.408348022,1301.6805985956,421.77,1327.558,p,s,ej ,452.4482297678,2057.5130825232,314.28,1545.037,ej,1,CV,492.9703216997,492.9998913108,29.569611026,PBSP,MartaS,feminino,32,18,14,eu nunca passei assim necessidade assim e aqui eu passei
necessidade,n<e>-s<e>-s<i>-'da-de,i,413.6427546465,1675.4442987558,367.578,1521.803,s,d,a,639.0999627095,1862.9295487045,370.969,1450.912,a,1,CV,493.7375877641,493.7554195553,17.8317911925,PBSP,MartaS,feminino,32,18,14,eu nunca passei assim necessidade assim e aqui eu passei
