VD,PARTICIPANTE,SEXO.GENERO,IDADE,FAIXA.ETARIA,ESCOLARIDADE,REGIAO,INDICE.SOCIO,ORIGEM.PAIS,CONT.FON.PREC,CONT.FON.SEG,TONICIDADE,POSICAO.R,CLASSE.MORFOLOGICA,FREQUENCIA,ESTILO,ITEM.LEXICAL,cont.precedente,ocorrencia,cont.seguinte
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,ts,tonica,medial,substantivo,1.34,conversacao,parte, do CEU é daquela , parte <R> , que as perua(s) ia 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,o,n,atona,medial,substantivo,0.16,conversacao,jornal, eu não gosto de , jornal <R> , D1: mas digo assim 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,e,g,atona,medial,substantivo,0.22,conversacao,pergunta, não (es)to(u) entendendo a , pergunta <R> , D1: o que que/ 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,e,v,atona,medial,substantivo,0.44,conversacao,serviço, o que sei... num , serviço <T> , a não ser <A> 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,k,tonica,final,substantivo,1.94,conversacao,lugar, mas foi em tal , lugar <R> , como no caso Jardim 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,dz,tonica,final,substantivo,1.94,conversacao,lugar, queria ocupar <A> o , lugar <R> , de ninguém... que só 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,0,t,tonica,medial,substantivo,0.35,conversacao,porta, já (es)tava fora da , porta <R> , da loja... mas eu 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,t,tonica,medial,substantivo,0.03,conversacao,Marta, não ser <A> a , Marta <R> , sim né... quando ela 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,0,k,atona,medial,conj.prep,5.98,conversacao,porque, eu te falei não , porque <T> , eu ia gostar <A> 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,3,s,tonica,medial,substantivo,0.16,conversacao,comércio, então sempre trabalhei em , comércio <R> , sempre trabalhei em firma 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,d,tonica,medial,substantivo,0.2,conversacao,absurdo, passe... eu acho um , absurdo <R> , eu acho que o 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,0,#,tonica,final,adverbio,0.93,conversacao,melhor, mesmo a... estudar <A> , melhor... <R> , que ele não vai 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,e,v,atona,medial,substantivo,0.44,conversacao,serviço, eles mostrar <A> o , serviço <T> , ... de resto não... 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,dz,tonica,final,substantivo,1.94,conversacao,lugar, pra tirar <A> o , lugar <T> , de alguém... ele me 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,o,t,atona,medial,verbo,0.01,conversacao,suportei, mas detestava texto... nunca , suportei <R> , texto... as minhas provas 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,e,dz,atona,medial,verbo,0.04,conversacao,perdia, ou eu ou ele , perdia <T> , um ano... porque <A> 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,d,tonica,medial,substantivo,0.2,conversacao,absurdo, então eu acho um , absurdo <R> , isso... não tinha não 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,t,tonica,medial,adjetivo,0.15,conversacao,quarta, é de primeira a , quarta <R> , série aí depois de 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,0,d,tonica,medial,verbo,0.07,conversacao,concordo, aí é diferente eu , concordo <R> , manda embora passando a 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,0,d,tonica,final,adjetivo,0.93,conversacao,melhor, mexer <A> numa eletricidade , melhor <R> , do que muitos que 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,o,d,tonica,final,verbo,0.18,conversacao,for, e também se eu , for <R> , detalhista também não corrijo... 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,t,atona,medial,conj.prep,3.25,conversacao,por, né mas S1: só , por <R> , televisão mas D1: mas 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,m,tonica,final,substantivo,0.01,conversacao,singular, é como se fosse , singular <R> , mas mesmo assim eu 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,o,t,atona,final,verbo,0.05,conversacao,cortar, S1: tomou! tem que , cortar <R> , <A> D1: [risos] não 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,dz,tonica,medial,substantivo,0.38,conversacao,tarde, madrugada... vai pendurada de , tarde <R> , ... e quem entra 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,e,v,atona,medial,substantivo,0.44,conversacao,serviço, perdi <V> [34.27] meu , serviço <T> , por <A> causa de 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,n,atona,medial,conj.prep,3.25,conversacao,por, [32.24] muita oportunidade <V> , por <T> , não ter <A> segundo 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,m,atona,medial,conj.prep,3.25,conversacao,por, não seja S1: é , por <R> , [19.56] mim eu colocaria 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,e,m,atona,medial,verbo,0.04,conversacao,termina, a oitava série onde , termina <T> , D1: aí na oitava 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,t,tonica,medial,adjetivo,0.15,conversacao,quarta, <V> [27.12] depois da , quarta <R> , série é que ele 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,d,tonica,final,substantivo,1.94,conversacao,lugar, <A> ficar <A> no , lugar <R> , dela eu falei que 
